Date,Time,temperature,Wind_10m_kmh,Rainfall_mm,Rain_Probability_%
2026-06-24,00:00:00,29.0,8.2,0.0,2
2026-06-24,01:00:00,28.2,8.1,0.0,5
2026-06-24,02:00:00,27.5,11.5,0.0,6
2026-06-24,03:00:00,26.8,10.6,0.0,5
2026-06-24,04:00:00,26.4,9.3,0.0,2
2026-06-24,05:00:00,26.0,9.4,0.0,0
2026-06-24,06:00:00,26.2,10.7,0.0,0
2026-06-24,07:00:00,27.2,12.1,0.0,0
2026-06-24,08:00:00,28.8,11.9,0.0,0
2026-06-24,09:00:00,30.6,9.7,0.0,1
2026-06-24,10:00:00,32.0,10.3,0.0,1
2026-06-24,11:00:00,33.1,11.1,0.1,2
2026-06-24,12:00:00,33.9,11.8,0.0,2
2026-06-24,13:00:00,34.4,12.7,0.0,2
2026-06-24,14:00:00,34.9,12.7,0.0,2
2026-06-24,15:00:00,34.8,11.8,0.0,3
2026-06-24,16:00:00,34.5,13.2,0.0,4
2026-06-24,17:00:00,33.8,11.4,0.0,4
2026-06-24,18:00:00,32.7,5.9,0.0,4
2026-06-24,19:00:00,31.7,6.7,0.1,3
2026-06-24,20:00:00,31.1,11.4,0.0,2
2026-06-24,21:00:00,30.7,7.5,0.0,2
2026-06-24,22:00:00,30.4,7.7,0.0,1
2026-06-24,23:00:00,29.9,5.9,0.3,2
2026-06-25,00:00:00,29.5,13.4,0.4,5
2026-06-25,01:00:00,28.4,12.1,0.0,8
2026-06-25,02:00:00,27.5,11.7,0.0,10
2026-06-25,03:00:00,26.8,13.7,0.0,8
2026-06-25,04:00:00,26.5,14.0,0.0,5
2026-06-25,05:00:00,26.2,13.8,0.0,2
2026-06-25,06:00:00,25.9,14.1,0.0,1
2026-06-25,07:00:00,26.7,14.9,0.0,0
2026-06-25,08:00:00,28.2,13.5,0.0,0
2026-06-25,09:00:00,30.0,10.8,0.0,0
2026-06-25,10:00:00,31.5,9.8,0.0,0
2026-06-25,11:00:00,32.6,9.5,0.0,0
2026-06-25,12:00:00,33.4,9.7,0.0,0
2026-06-25,13:00:00,34.1,10.3,0.0,0
2026-06-25,14:00:00,34.4,10.8,0.0,0
2026-06-25,15:00:00,34.4,10.8,0.0,1
2026-06-25,16:00:00,34.0,10.7,0.0,3
2026-06-25,17:00:00,33.5,10.7,0.0,4
2026-06-25,18:00:00,33.0,9.6,0.0,5
2026-06-25,19:00:00,32.0,11.7,0.0,6
2026-06-25,20:00:00,31.2,11.2,0.0,6
2026-06-25,21:00:00,30.9,8.0,0.0,4
2026-06-25,22:00:00,30.6,6.5,0.0,2
2026-06-25,23:00:00,30.0,4.6,0.0,0
