date,Tmin,Tmax,T_mean,ET0,u2,Rain_Prob,WeatherCode,Status
2026-06-24,26.0,34.9,30.61,6.64,7.53,6,51,Forecast
2026-06-25,25.9,34.4,30.47,6.69,8.29,10,51,Forecast
2026-06-26,26.5,34.9,30.56,6.29,7.18,33,51,Forecast
2026-06-27,26.7,35.7,31.45,6.89,7.19,33,2,Forecast
2026-06-28,27.1,35.7,31.6,7.27,9.08,25,3,Forecast
2026-06-29,26.6,34.9,30.91,7.6,10.65,16,3,Forecast
2026-06-30,25.8,34.1,30.52,7.3,10.67,12,0,Forecast
2026-07-01,25.9,35.2,30.68,6.75,10.22,19,3,Forecast
2026-07-02,25.4,33.3,29.29,6.14,9.67,33,3,Forecast
2026-07-03,25.1,33.3,29.3,5.6,10.22,31,53,Forecast
2026-07-04,25.4,33.5,29.89,5.88,10.5,43,3,Forecast
2026-07-05,25.2,34.1,30.15,6.81,11.23,49,3,Forecast
2026-07-06,25.2,36.1,31.3,6.28,7.61,41,51,Forecast
2026-07-07,26.0,37.2,31.58,6.35,7.68,35,95,Forecast
